id,english,japanese,part,level,wordbook_id,created_at,updated_at
1451,conscience,良心,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1452,expedition,探検,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1453,offspring,子孫,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1454,allowance,こづかい,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1455,headline,大見出し,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1456,treaty,条約,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1457,monument,記念碑,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1458,worm,虫,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1459,remedy,治療法,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1460,encyclopedia,百科事典,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1461,catchaglimpseof,ちらり,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1462,personnel,職員,名詞,Advanced Stage,2,2020-10-11 17:25:53 +0900,2020-10-11 17:25:53 +0900
1463,triumph,勝利,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1464,arithmetic,算数,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1465,self-esteem,自尊心,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1466,fog,霧,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1467,odds of,可能性,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1468,chaos,混沌,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1469,destiny,運命,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1470,diameter,直径,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 18:30:48 +0900
1471,meadow,牧草地,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1472,souvenir,みやげ物,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1473,trail,小道,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1474,ratio,比率,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1475,sword,剣,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1476,realm,領域,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1477,sentiment,感情,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1478,household chore,雑用,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1479,courtesy,礼儀,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1480,mayor,市長,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1481,reign,統治,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1482,trash,ゴミ,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1483,prestige,名声,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1484,hierarchy,階級制度,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1485,wilderness,荒野,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1486,orbit,軌道,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1487,bias,偏見,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1488,Republic,共和国,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1489,bargain,掘り出し物,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1490,contempt for,軽蔑,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1491,fragment,破片,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1492,Galaxy,星雲,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1493,lap,ひざ,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1494,deadline for,締め切り,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1495,bullet,弾丸,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1496,pedestrian,歩行者,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1497,wit,機知,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1498,nuisance,迷惑,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1499,meetcriteriafor,基準,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1500,hardship,苦難,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1501,glory,栄光,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1502,sin,罪,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1503,Navy,海軍,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1504,script,台本,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1505,pension,年金,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1506,timber,材木,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1507,surplus,余剰,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1508,moisture,水分,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1509,peasant,小作農,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1510,garment,衣服,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1511,textile,織物,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1512,tuition,授業料,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1513,troop,軍隊,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1514,primate,霊長類,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1515,friction,摩擦,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1516,nephew,甥,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1517,at altitude,高度,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1518,diagnosis,診断,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1519,commerce,商業,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1520,limb,手足,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1521,fraction,ほんの一部,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1522,irony,皮肉,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1523,nightmare,悪夢,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1524,defect,欠陥,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1525,witch,魔女,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1526,scent,香り,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1527,erosion,浸食,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1528,millionaire,百万長者,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1529,skeleton,骨格,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1530,grace,優雅さ,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1531,landmark,名所,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1532,torture,拷問,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1533,flesh,肉,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1534,collision with,衝突,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1535,hazard to,危険なもの,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1536,tomb,墓,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1537,brow,額,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1538,sightseeing,観光,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1539,leather,革,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1540,jewelry,宝石,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1541,cue,合図,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1542,ambulance,救急車,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1543,real estate,不動産,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1544,commodity,商品,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1545,departure,出発,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1546,phase,段階,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1547,thief,泥棒,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1548,Saint,聖,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1549,consent,同意,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1550,grief,悲しみ,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1551,lane,車線,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1552,bulk,大部分,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1553,fluid,液,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1554,communist,共産主義,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1555,bride,花嫁,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1556,intervention in,介入,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1557,margin,差,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1558,biography,伝記,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1559,sculpture,彫刻,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1560,volcano,火山,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1561,rebel,反逆者,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1562,metaphor,比喩,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1563,legislation,法律,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1564,lightning,雷,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1565,pesticide,殺虫剤,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1566,column,コラム,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1567,rumor,うわさ,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1568,dust,ほこり,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1569,dialogue,対話,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1570,kindergarten,幼稚園,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1571,tourism,観光,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1572,obesity,肥満,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1573,patent,特許,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1574,chapter,章,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1575,Palace,宮殿,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1576,laundry,洗濯,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1577,ward,病棟,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1578,epidemic,流行,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1579,equation,方程式,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1580,archaeologist,考古学者,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1581,corruption,腐敗,名詞,Advanced Stage,2,2020-10-11 17:25:54 +0900,2020-10-11 17:25:54 +0900
1582,beaptto,やすい,形容詞,Advanced Stage,2,2020-10-11 17:25:58 +0900,2020-10-11 17:25:58 +0900
1583,humble,謙虚な,形容詞,Advanced Stage,2,2020-10-11 17:25:58 +0900,2020-10-11 17:25:58 +0900
1584,beentitledto,権利がある,形容詞,Advanced Stage,2,2020-10-11 17:25:58 +0900,2020-10-11 17:25:58 +0900
1585,valid,正当な,形容詞,Advanced Stage,2,2020-10-11 17:25:58 +0900,2020-10-11 17:25:58 +0900
1586,faint,かすかな,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1587,stiff,堅苦しい,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1588,obscure,はっきりとわからない,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1589,fierce,激しい,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1590,acute,深刻な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1591,idle,何もせず,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1592,crude,粗末な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1593,jealous of,ねたむ,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1594,pregnant,妊娠している,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1595,beliableto,がちである,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1596,beintenton,決意をしている,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1597,decent,まともな,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1598,marvelous,驚くべき,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1599,misleading,誤解を招く,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1600,tame,人に馴れた,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1601,classical,クラシック,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1602,Muslim,イスラム,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1603,grave,重大な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1604,fertile,肥えた,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1605,hostile to,敵意を持つ,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1606,indispensable to,不可欠だ,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1607,alert,用心する,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1608,trivial,ささいな,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1609,oriented,志向の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1610,splendid,すばらしい,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1611,competent,有能な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1612,supreme,最高の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1613,sheer,全くの,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1614,sacred,聖,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1615,bold,大胆な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1616,uneasy,不安な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1617,neat,きちんとした,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1618,shallow,浅い,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1619,loyal,忠実な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1620,superficial,表面的な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1621,absurd,馬鹿げた,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1622,fragile,壊れやすい,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1623,respectable,ちゃんとした,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1624,magnificent,すばらしい,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1625,infinite,無限の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1626,comprehensive,包括的,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1627,steep,険しい,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1628,gross,総,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1629,subsequent,次に起こる,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1630,sincere,誠実な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1631,timid,臆病な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1632,neutral,中立の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1633,diligent,勤勉な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1634,sore,痛い,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1635,contaminated,汚染された,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1636,ambiguous,どちらとも取れる,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1637,oral,口述の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1638,restless,落ち着かない,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1639,savage,野蛮な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1640,vigorous,精力的な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1641,immense,莫大な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1642,metropolitan,大都市,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1643,punctual,時間をきっちり守る,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1644,solitary,孤独な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1645,collective,集団,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1646,diplomatic,外交,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1647,brutal,残忍な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1648,helpless,無力な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1649,arrogant,ごう慢な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1650,went bankrupt,破産した,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1651,eternal,永遠の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1652,sole,唯一の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1653,gloomy,暗い,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1654,notable,注目すべき,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1655,affluent,裕福な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1656,naked,裸の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1657,vocal,発声,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1658,feminine,女性の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1659,vacant,空いている,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1660,exotic,外来の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1661,cognitive,認知,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1662,humid,蒸し暑い,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1663,outstanding,傑出した,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1664,beaddictedto,中毒である,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1665,vulnerable to,受けやすい,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1666,spontaneous,自然に起こる,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1667,greedy,どん欲だ,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1668,thirsty,のどが渇く,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1669,per capita,一人当たりの,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1670,inherent in,元から伴う,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1671,promising,前途有望な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1672,physiological,生理的な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1673,clinical,臨床,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1674,chronic,慢性の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1675,geological,地質学的な,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1676,countless,無数の,形容詞,Advanced Stage,2,2020-10-11 17:25:59 +0900,2020-10-11 17:25:59 +0900
1677,simultaneously,同時に,副詞,Advanced Stage,2,2020-10-11 17:26:03 +0900,2020-10-11 17:26:03 +0900
1678,utterly,全く,副詞,Advanced Stage,2,2020-10-11 17:26:03 +0900,2020-10-11 17:26:03 +0900
1679,upright,まっすぐに,副詞,Advanced Stage,2,2020-10-11 17:26:03 +0900,2020-10-11 17:26:03 +0900
1680,overnight,一晩,副詞,Advanced Stage,2,2020-10-11 17:26:03 +0900,2020-10-11 17:26:03 +0900
1681,thereby,そうすることで,副詞,Advanced Stage,2,2020-10-11 17:26:03 +0900,2020-10-11 17:26:03 +0900
1682,via,経由で,副詞,Advanced Stage,2,2020-10-11 17:26:03 +0900,2020-10-11 17:26:03 +0900
1683,namely,すなわち,副詞,Advanced Stage,2,2020-10-11 17:26:03 +0900,2020-10-11 17:26:03 +0900
